Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Chase Snavely","DSU",,0,1,13.775509667863275,8,0,0,0,0,16.1,99,22,26,25,1,19,9,4,0,15,"Chase Snavely","sa3060630",
"Oliver Wood","CIT",,4,0,4.547368512351759,13,0,0,0,0,31.2,155,38,25,16,5,16,6,0,0,15,"Oliver Wood","sa3060961",
"Connor Zaruba","SHSU",,0,1,11.4,8,3,0,0,0,15,77,23,19,19,3,6,3,2,0,15,"Connor Zaruba","sa3061005",
"Owen Winebarger","ELON",,3,1,5.571428571428571,16,0,0,0,1,21,88,17,13,13,3,8,1,0,0,15,"Owen Winebarger","sa3062699",
"Justin Hicks","UAB",,1,2,8.265305800717965,15,1,0,0,0,16.1,80,21,15,15,3,9,2,2,0,15,"Justin Hicks","sa3062848",
"PJ Green","MIZ",,1,3,6.493670729295013,18,0,0,0,1,26.1,130,28,19,19,6,26,5,2,0,15,"PJ Green","sa3062933",
"Nick Hamilton","MERC",,0,3,9.529411764705882,16,5,0,0,0,34,171,44,37,36,5,21,8,10,0,15,"Nick Hamilton","sa3065052",
"Jose Luccioni","TXSO",,1,0,7.8607593038834365,18,0,0,0,0,26.1,136,34,23,23,4,10,6,5,0,15,"Jose Luccioni","sa3065083",
"TJ Coats","NEB",,0,0,7.147059023999018,8,3,0,0,0,11.1,58,9,10,9,2,13,3,5,0,15,"TJ Coats","sa3065275",
"Julius Ejike-Charles","TULN",,1,0,8.590908904706154,16,0,0,0,0,14.2,75,17,14,14,1,12,3,3,0,15,"Julius Ejike-Charles","sa3065290",
"Ian Keusch","BRWN",,0,2,7.105262979576136,12,5,0,0,0,25.1,129,26,21,20,3,24,4,4,1,15,"Ian Keusch","sa3065338",
"Kyle Peters","CONN",,0,0,9,9,1,0,0,1,13,67,18,16,13,4,9,2,1,0,15,"Kyle Peters","sa3065383",
"Gabe Beschloss","ECU",,0,0,13.090909090909092,15,0,0,0,0,11,63,22,16,16,3,8,2,2,0,15,"Gabe Beschloss","sa3065504",
"Aiden Fishnick","MILW",21,1,2,9.486486731000507,17,0,0,0,0,24.2,121,35,30,26,6,12,4,5,0,15,"Aiden Fishnick","sa3065532",
"Carson Foster","JKST",19,2,0,10.431817955714617,8,3,0,0,0,14.2,82,14,21,17,2,26,4,6,0,15,"Carson Foster","sa3065534",
"Reece Hemmerling","UPST",22,0,1,8.10000030899049,13,0,0,0,0,16.2,80,16,18,15,4,11,4,0,0,15,"Reece Hemmerling","sa3066197",
"Anthony Mancini","SPU",20,1,0,10.046511850723263,9,0,0,0,0,14.1,84,16,16,16,1,15,6,5,0,15,"Anthony Mancini","sa3066213",
