Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Wilson Weber","ORST",23,242,0.103305785,0.214876033,0.48076923,0.331753554,0.410788381,0.592417061,1.003205442,0.260663507,5.483918753229952,0.391891891,0.33204751007724553,52.48267042311279,10.946253505073472,0.43543054083076255,126.35338894703625,"Wilson Weber","sa3044929",
"Noah Jouras","DAV",22,227,0.127753303,0.193832599,0.659090909,0.318681318,0.444444444,0.505494505,0.949938949,0.186813187,5.699478048829353,0.386363636,0.028951970860362053,50.96425593007824,10.612768621337622,0.44315539174609714,126.30081151689983,"Noah Jouras","sa3034955",
"Jayden Walker","MERC",,229,0.139737991,0.135371179,1.032258064,0.314432989,0.407894736,0.56185567,0.969750406,0.247422681,3.6616009349635426,0.320261437,-0.6413907706737518,48.17089383468137,10.015050055236676,0.4304671167281636,126.24774887204036,"Jayden Walker","sa3065162",
"Andrew Eppinger","NJIT",23,162,0.049382716,0.185185185,0.266666666,0.360544217,0.40625,0.50340136,0.90965136,0.142857143,3.6550359750863666,0.439655172,0.1665215790271759,32.18354259788782,6.6846996134498795,0.4174150265753269,126.21569777707005,"Andrew Eppinger","sa3030965",
"AJ Gracia","DUKE",20,275,0.2,0.127272727,1.571428571,0.29468599,0.45054945,0.555555555,1.006105005,0.260869565,5.682241969622532,0.290123456,-0.06365063227713108,63.61272097635776,13.189275423770244,0.4485499077227526,126.15702929307936,"AJ Gracia","sa3032552",
"Jacob French","CAL",,218,0.036697247,0.091743119,0.4,0.389743589,0.440366972,0.564102564,1.004469536,0.174358975,5.479847273010536,0.413793103,-1.3580956822261214,50.42653116280665,10.45449068839182,0.44854505319114124,126.15450841215747,"Jacob French","sa3059238",
"Cooper McMurray","AUB",,277,0.140794223,0.223826714,0.629032258,0.331877729,0.436823104,0.598253275,1.035076379,0.266375546,1.7455799087500001,0.397435897,-0.6404408067464828,64.60308049021255,13.380389624815093,0.4482678030802455,126.12199671426082,"Cooper McMurray","sa3037717",
"Tyce Armstrong","UTA",,246,0.101626016,0.154471544,0.657894736,0.318840579,0.414634146,0.555555555,0.970189701,0.236714976,2.504485878085269,0.3375,-0.8632563417777419,51.889457069266726,10.74263047419875,0.4334657010508747,126.10804128327702,"Tyce Armstrong","sa3026212",
"Brandon Anderson","PUR",21,250,0.12,0.1,1.2,0.291005291,0.451612903,0.481481481,0.933094384,0.19047619,5.073432896072031,0.29299363,-0.002626967616379261,55.06189782592333,11.391731542077427,0.43657283797379465,126.08584420776836,"Brandon Anderson","sa3026030",
"Owen Carapellotti","GTWN",22,229,0.126637554,0.122270742,1.035714285,0.298429319,0.406113537,0.586387434,0.992500971,0.287958115,6.101951582629377,0.284768211,0.6569488230161369,49.39081543742303,10.208163455711647,0.4349871348085362,126.05276299438928,"Owen Carapellotti","sa3028401",
