Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Tyler Smith","SPU",22,152,0.144736842,0.151315789,0.956521739,0.296610169,0.417218543,0.576271186,0.993489729,0.279661017,2.9220769697970335,0.285714285,0.06562132015824318,32.78181099927591,8.10230088269876,0.43660482191881594,132.83007176571334,"Tyler Smith","sa3042652",
"Colin Hynek","GAST",22,227,0.158590308,0.224669603,0.705882352,0.229885057,0.395555555,0.586206896,0.981762451,0.356321839,3.3956623284945833,0.205607476,-0.24280493333935738,46.731687213843834,11.541866790121569,0.4298529945479499,132.798879480331,"Colin Hynek","sa3034393",
"Isaiah Walker","ULM",,238,0.079831932,0.155462184,0.513513513,0.343137254,0.414529914,0.534313725,0.948843639,0.191176471,9.131199904357166,0.390243902,3.1259208247065544,48.98973911195991,12.094685099422906,0.429823064396524,132.78131831793257,"Isaiah Walker","sa3044669",
"Henry Zenor","UPST",,281,0.135231316,0.067615658,2,0.358078602,0.449640287,0.55021834,0.999858627,0.192139738,5.14844288469415,0.358851674,-1.1343698427081108,69.53261818895453,17.150312551952535,0.450962948498966,132.74065992971074,"Henry Zenor","sa3061010",
"Ty Stecko","EMU",,184,0.114130434,0.25,0.456521739,0.324675324,0.423913043,0.59090909,1.014822133,0.266233766,3.5982126061437407,0.393939393,-1.343191530846525,42.02270094146236,10.363908088106955,0.4453306820081628,132.7362705713794,"Ty Stecko","sa3042996",
"Zac Zyons","BRY",,245,0.102040816,0.171428571,0.595238095,0.278074866,0.412765957,0.540106951,0.952872908,0.262032085,6.27977012227535,0.299270072,-0.8121024742722511,51.17955344810169,12.616488440772699,0.4279047590620974,132.71650849945385,"Zac Zyons","sa3045896",
"Grant MacArthur","CONN",20,235,0.161702127,0.174468085,0.926829268,0.296089385,0.44680851,0.519553072,0.966361582,0.223463687,2.815114463730398,0.325757575,-1.3351347516290843,53.338856191027176,13.129584506738194,0.44613416524643595,132.65312689527858,"Grant MacArthur","sa3059880",
"Rylan Galvan","TEX",22,239,0.196652719,0.276150627,0.712121212,0.295698924,0.451882845,0.612903225,1.06478607,0.317204301,5.071706768833142,0.38095238,-0.19752723537385464,58.60929925366407,14.413547929368075,0.4610724658646843,132.61297182981576,"Rylan Galvan","sa3031877",
"Daniel Brooks","COFC",22,7,0.142857142,0.428571428,0.333333333,0.333333333,0.428571428,0.5,0.928571428,0.166666667,2.64285714,0.666666666,-0.017172688618302345,1.5352864808712092,0.37675226697064307,0.43059068066733225,132.51973592581174,"Daniel Brooks","sa3027752",
"Murf Gray","FRES",21,279,0.082437275,0.107526881,0.766666666,0.323651452,0.397849462,0.639004149,1.036853611,0.315352697,3.5833576252063377,0.303030303,0.22514401376247406,62.478894771005194,15.316565857197322,0.4332291251015065,132.4762712316207,"Murf Gray","sa3032619",
"Eston Snider","MTSU",,257,0.105058365,0.132295719,0.794117647,0.341121495,0.4453125,0.509345794,0.954658294,0.168224299,6.808282457162936,0.382857142,1.7427676748484373,57.15149618335412,14.004184287268378,0.4412230553571135,132.45667846236978,"Eston Snider","sa3042675",
"Weber Neels","MINN",22,214,0.116822429,0.172897196,0.675675675,0.284023668,0.425233644,0.603550295,1.028783939,0.319526627,5.635612680937763,0.277310924,-0.42074053548276424,49.50979200611431,12.12812966714222,0.44822084513780114,132.44406189635416,"Weber Neels","sa3038721",
"Brylan West","FIU",23,266,0.105263157,0.12406015,0.848484848,0.337777777,0.432330827,0.546666666,0.978997493,0.208888889,3.304724373278632,0.351648351,-0.9640291016548872,59.125351138917196,14.467043884602774,0.44111485633634984,132.3949669704624,"Brylan West","sa3045027",
"Anthony Mascuilli","UMBC",,176,0.176136363,0.119318181,1.476190476,0.303030303,0.460227272,0.401515151,0.861742423,0.098484848,6.696172415924455,0.345132743,0.22753271460533142,36.666239864942824,8.963793165800372,0.42732531001622026,132.35740605568188,"Anthony Mascuilli","sa3066388",
"Maximus Martin","KSU",21,243,0.12345679,0.226337448,0.545454545,0.320388349,0.419753086,0.611650485,1.031403571,0.291262136,4.840772938499539,0.376811594,-0.5561499577015638,56.09318343984412,13.711394008868202,0.4457735990791164,132.35208846289734,"Maximus Martin","sa3037194",
